source_id,doi,year,corresponding,all_authors
SCOPUS_ID:84958747973,10.1097/MD.0000000000002633,2016,,Fournier J.P.
SCOPUS_ID:84959017922,10.1038/srep21760,2016,,Gaysinski M.|Thomas O.P.
SCOPUS_ID:84959020266,10.3928/01477447-20160111-01,2016,,Boileau P.
SCOPUS_ID:84959020371,10.1038/nature16934,2016,,Delbò M.|Michel P.|Bolin B.|Morbidelli A.
SCOPUS_ID:84959080034,10.1016/j.autrev.2016.01.001,2016,,Versini M.
SCOPUS_ID:84959086015,10.1007/s10603-016-9315-y,2016,,Ballantyne R.
SCOPUS_ID:84959309410,10.1152/japplphysiol.00967.2015,2016,,Radel R.|Brisswalter J.
SCOPUS_ID:84959420165,10.1111/jerd.12194,2016,Ceinos R.|UCA (affiliation),Ceinos R.|Lupi-Pegurier L.|Bertrand M.F.
SCOPUS_ID:84959421979,10.1016/j.clnu.2016.01.020,2016,,Schneider S.M.
SCOPUS_ID:84959432232,10.1016/j.lpm.2016.01.020,2016,,Baudin G.|Hyvernat H.|Chambon R.|Doyen D.|Dellamonica J.|Bernardin G.
SCOPUS_ID:84959455222,10.1016/j.clinbiomech.2015.12.005,2016,,Boileau P.
SCOPUS_ID:84959478699,10.1017/S1743921315008509,2016,,Bolin B.
SCOPUS_ID:84959481373,10.1016/j.soard.2015.10.070,2016,,Iannelli A.
SCOPUS_ID:84959513208,10.1016/j.jbspin.2015.04.012,2016,Roux C.H.|UCA (affiliation),Roux C.H.|Euller-Ziegler L.
SCOPUS_ID:84959514211,10.1016/j.clinre.2015.09.006,2016,,Patouraux S.|Lebeaupin C.|Anty R.|Tran A.
SCOPUS_ID:84959515555,10.1177/0843871415624176,2016,Beaurepaire P.Y.|UCA (affiliation),Beaurepaire P.Y.
SCOPUS_ID:84959515828,10.1016/j.cmi.2015.10.038,2016,Lotte L.|UCA (affiliation),Lotte L.|Lotte R.|Ruimy R.
SCOPUS_ID:84959537803,10.1016/j.jbspin.2015.11.005,2016,,Albert C.|Florent A.|Acquacalda E.|Euller-Ziegler L.
SCOPUS_ID:84959563946,10.1007/s11690-015-0508-3,2016,,Baudin G.|Schneck A.S.|Iannelli A.|Benoit L.|Spitals D.|Gugenheim J.
SCOPUS_ID:84959568985,10.5114/jcb.2016.57535,2016,,Gautier M.|Chand-Fouche M.E.|Falk A.T.|Hannoun-Levi J.M.|Bailleux C.|Barranger E.
SCOPUS_ID:84959893589,10.1109/TGRS.2016.2528298,2016,,Richard C.|Richard C.
SCOPUS_ID:84959911310,10.1142/S0219887816500274,2016,,Barbachoux C.|Kouneiher J.
SCOPUS_ID:84960082814,10.1093/jac/dkv323,2016,,Durant J.
SCOPUS_ID:84960087693,10.1007/s10569-016-9674-3,2016,,Namouni F.
SCOPUS_ID:84960129961,10.1016/j.jcv.2016.02.026,2016,,Anty R.|Giordanengo V.
SCOPUS_ID:84960145696,10.1016/j.ijgo.2015.08.028,2016,,Breaud J.|Tran A.|Delotte J.|Bongain A.|Arias T.|Fournier J.P.
SCOPUS_ID:84960240980,10.1016/j.pss.2015.10.010,2016,,Mignard F.|Tanga P.
SCOPUS_ID:84960318218,10.1057/9781137480668,2016,,Verdier-Chouchane A.
SCOPUS_ID:84960389413,10.1007/s00404-016-4063-4,2016,,Tran A.|Delotte J.|Antomarchi J.|Jordan A.|Bongain A.
SCOPUS_ID:84960510280,10.1371/journal.pone.0149070,2016,,Staccini P.
SCOPUS_ID:84960805128,10.1016/j.jvsv.2015.07.006,2016,,Sadaghianloo N.
SCOPUS_ID:84960805328,10.1016/j.pdpdt.2015.07.176,2016,,Medioni E.|Rocca J.P.
SCOPUS_ID:84961058033,10.1016/j.dld.2015.10.005,2016,,Patouraux S.|Canivet C.M.|Lebeaupin C.|Anty R.|Gual P.|Tran A.
SCOPUS_ID:84961123487,10.1016/j.jog.2016.03.006,2016,Rolland Y.|Observatoire de la Côte d'Azur,Rolland Y.|Rolland Y.
SCOPUS_ID:84961225967,10.1007/978-3-319-18827-0_49,2016,Krell S.|UCA (affiliation),Krell S.
SCOPUS_ID:84961226413,10.1097/DAD.0000000000000511,2016,,Ambrosetti D.|Balaguer T.|Perrin C.|Michiels J.F.
