source_doi,published-online-date,published-print-date,journal-published-print-date,is-referenced-by-count,funder
10.1021/acs.langmuir.9b00882,2019.0,2019.0,2019.0,3.0,"Agence Nationale de la Recherche,Japan Society for the Promotion of Science,Minist?re des Affaires ?trang?res et du D?veloppement International"
10.1002/cbdv.201900280,2019.0,2019.0,2019.0,9.0,"CRIEPPAM,EUCLIDE project,SPLP Funds,PACA region"
10.1111/1744-7917.12705,2019.0,2020.0,2020.0,1.0,National Natural Science Foundation of China
10.15252/emmm.201910291,2019.0,2019.0,2019.0,15.0,Agence Nationale de la Recherche
10.1021/acsanm.8b01558,2018.0,2018.0,2018.0,13.0,"Agence Nationale de la Recherche,Deutsche Forschungsgemeinschaft,Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico"
10.1002/lpor.201800226,2019.0,2019.0,2019.0,23.0,"Agence Nationale de la Recherche,H2020 European Research Council"
10.1002/chem.201902015,2019.0,2019.0,2019.0,1.0,Université Nice Sophia Antipolis
10.1007/s10901-019-09703-w,2019.0,2020.0,2020.0,0.0,Association Nationale de la Recherche et de la Technologie
10.1093/mnras/stz1632,2019.0,2019.0,2019.0,6.0,"U.S. Department of Energy,National Sleep Foundation,Agence Nationale de la Recherche,University College London"
10.1038/s41396-019-0482-0,2019.0,2019.0,2019.0,43.0,"NSF | BIO | Division of Biological Infrastructure,NSF | GEO | Division of Ocean Sciences"
10.1038/s41419-019-1779-7,2019.0,2019.0,2019.0,5.0,Agence Nationale de la Recherche
10.1364/OE.27.022074,2019.0,2019.0,2019.0,35.0,"ORAU program at Nazarbayev University,Agence Nationale de la Recherche (ANR)"
10.1007/s00205-019-01442-0,2019.0,2020.0,2020.0,2.0,"Fondation Mathématique Jacques Hadamard,National Science Foundation"
10.1111/eea.12807,2019.0,2019.0,2019.0,14.0,"U.S. Department of Agriculture,National Institute of Food and Agriculture,Michigan State University,Agence Nationale de la Recherche"
10.1364/OL.44.004071,2019.0,2019.0,2019.0,22.0,"Agence Nationale de la Recherche (ANR),European Community funds FEDER,Normandie region"
10.1002/smr.2208,2019.0,2019.0,2019.0,0.0,Centre National de la Recherche Scientifique
10.1021/acs.accounts.9b00134,2019.0,2019.0,2019.0,13.0,"Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung,Associazione Italiana per la Ricerca sul Cancro"
10.1364/PRJ.7.000A36,2019.0,2019.0,2019.0,36.0,"European Regional Development Fund,Agence Nationale de la Recherche"
