label,code,main_domain
Littérature grecque,ddc:880,"Lettres, sciences Humaines et Sociales"
Littératures des autres langues,ddc:890,"Lettres, sciences Humaines et Sociales"
Géographie et histoire,ddc:900,"Lettres, sciences Humaines et Sociales"
Géographie et voyages,ddc:910,"Lettres, sciences Humaines et Sociales"
"Biographies générales, généalogie, emblèmes",ddc:920,"Lettres, sciences Humaines et Sociales"
Histoire ancienne et préhistoire,ddc:930,"Lettres, sciences Humaines et Sociales"
Histoire moderne et contemporaine de l'Europe,ddc:940,"Lettres, sciences Humaines et Sociales"
Histoire générale de la France,ddc:944,"Lettres, sciences Humaines et Sociales"
"Histoire générale de l'Asie, Orient, Extrême-Orient",ddc:950,"Lettres, sciences Humaines et Sociales"
Histoire générale de l'Afrique,ddc:960,"Lettres, sciences Humaines et Sociales"
Histoire générale de l'Amérique du Nord,ddc:970,"Lettres, sciences Humaines et Sociales"
Histoire générale de l'Amérique du Sud,ddc:980,"Lettres, sciences Humaines et Sociales"
"Histoire générale des autres parties du monde, des mondes extraterrestres. Iles du Pacifique",ddc:990,"Lettres, sciences Humaines et Sociales"
